provider,round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q04,direta,1649.04,NONE,NONE,True,0.73,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q05,direta,1966.98,NONE,NONE,True,0.442,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q06,parafrase,2263.23,NONE,NONE,True,0.468,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q07,parafrase,2489.15,NONE,NONE,True,0.406,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q08,parafrase,2230.9,NONE,NONE,True,0.537,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q09,parafrase,2089.92,NONE,NONE,True,0.384,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q10,parafrase,1732.17,NONE,NONE,True,0.603,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q11,fora_da_base,779.18,NO_EVIDENCE,NO_EVIDENCE,True,0.148,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q12,fora_da_base,1134.34,NO_EVIDENCE,NO_EVIDENCE,True,0.323,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q13,fora_da_base,2080.93,NO_EVIDENCE,NO_EVIDENCE,True,0.315,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q14,fora_da_base,121.02,NO_EVIDENCE,NO_EVIDENCE,True,0.272,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q15,fora_da_base,102.23,NO_EVIDENCE,NO_EVIDENCE,True,0.169,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q16,borda,0.46,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q17,borda,0.42,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q18,borda,2106.67,NO_EVIDENCE,NO_EVIDENCE,True,0.376,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q19,borda,2326.84,NONE,NONE,True,0.547,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q20,borda,2232.24,NONE,NONE,True,0.563,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q21,parafrase,1518.05,NONE,NONE,True,0.352,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q22,parafrase,1948.89,NONE,NONE,True,0.348,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q23,fora_da_base,91.61,NO_EVIDENCE,NO_EVIDENCE,True,0.294,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q24,escopo,1.9,NONE,NONE,True,0.4,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q25,escopo,83.58,NONE,NONE,True,0.544,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q26,fora_da_base,598.2,NO_EVIDENCE,NO_EVIDENCE,True,0.269,1
